"state_name","county_name","date","positive_pct","transmission_level"
"South Dakota","Hand County",2022-03-09,0,"low"
"Nebraska","Deuel County",2022-03-09,3.6294571536429,""
"Minnesota","Red Lake County",2022-03-09,0,"low"
"Ohio","Ottawa County",2022-03-25,2.89,"low"
"Nebraska","Hayes County",2022-03-03,3.6294571536429,"low"
"Illinois","Schuyler County",2022-03-04,0,"moderate"
"Indiana","Clay County",2022-03-04,5.84,"moderate"
"Kansas","Finney County",2022-03-17,0.49,"moderate"
"Kansas","Brown County",2022-03-21,1.1,"low"
"Nebraska","Rock County",2022-03-23,3.6294571536429,"high"
"Missouri","Ralls County",2022-03-30,0,"low"
"Kansas","Rush County",2022-03-30,0,"low"
"Illinois","Wayne County",2022-03-30,0,"low"
"Nebraska","York County",2022-03-30,0,"low"
"Nebraska","Arthur County",2022-03-30,3.6294571536429,""
"Kansas","Labette County",2022-03-31,0.94,"low"
"Nebraska","Loup County",2022-03-01,3.6294571536429,""
"Nebraska","Valley County",2022-03-01,3.6294571536429,"low"
"Wisconsin","Polk County",2022-03-07,3.16,"substantial"
"Kansas","Rice County",2022-03-07,34.38,"high"
"Nebraska","McPherson County",2022-03-14,3.6294571536429,""
"Ohio","Monroe County",2022-03-14,10,"high"
"Illinois","Clay County",2022-03-27,0,"low"
"Nebraska","Knox County",2022-03-09,3.6294571536429,"high"
"Nebraska","Chase County",2022-03-09,0,"low"
"Kansas","Kearny County",2022-03-26,0,"low"
"Michigan","Allegan County",2022-03-09,6.13,"substantial"
"Nebraska","Gage County",2022-03-09,5.26,"moderate"
"Kansas","Osborne County",2022-03-09,0,"substantial"
"Michigan","Kalkaska County",2022-03-09,8.14,"substantial"
"Minnesota","Chisago County",2022-03-09,1.22,"moderate"
"North Dakota","Logan County",2022-03-09,0,"high"
"Wisconsin","Polk County",2022-03-09,3.1,"substantial"
"Missouri","New Madrid County",2022-03-09,0,"substantial"
"Ohio","Delaware County",2022-03-09,3.19,"moderate"
"Indiana","Hamilton County",2022-03-09,2.86,"substantial"
"Illinois","Cook County",2022-03-09,0.86,"substantial"
"Illinois","Perry County",2022-03-09,2.06,"substantial"
"Illinois","Henderson County",2022-03-09,0,"moderate"
"North Dakota","McIntosh County",2022-03-09,13.89,"high"
"Michigan","Muskegon County",2022-03-09,5.94,"moderate"
"Ohio","Van Wert County",2022-03-09,5.88,"moderate"
"Kansas","Cloud County",2022-03-09,1.42,"moderate"
"Kansas","Lyon County",2022-03-09,3.78,"substantial"
"Kansas","Sedgwick County",2022-03-09,3.52,"low"
"Nebraska","Blaine County",2022-03-09,3.6294571536429,"low"
"Michigan","Lenawee County",2022-03-09,3.11,"substantial"
"Kansas","Sumner County",2022-03-09,0.54,"substantial"
"Minnesota","Mower County",2022-03-09,4.05,"substantial"
"Ohio","Madison County",2022-03-09,2.58,"moderate"
