state,county,Date,positive_pct,transmission_level,dose_1_pct,fully_pct,metro
South Dakota,Hand County,2022-03-09,0,low,54.6,48.5,Non-metro
Nebraska,Deuel County,2022-03-09,3.6294571536429,NA,0,34.4,Non-metro
Minnesota,Red Lake County,2022-03-09,0,low,60.9,56.1,Non-metro
Ohio,Ottawa County,2022-03-25,2.89,low,65.4,61.3,Non-metro
Nebraska,Hayes County,2022-03-03,3.6294571536429,low,0,25.5,Non-metro
Illinois,Schuyler County,2022-03-04,0,moderate,58.4,55.4,Non-metro
Indiana,Clay County,2022-03-04,5.84,moderate,62,55.6,Metro
Kansas,Finney County,2022-03-17,0.49,moderate,61.9,46.3,Non-metro
Kansas,Brown County,2022-03-21,1.1,low,67.7,60.5,Non-metro
Nebraska,Rock County,2022-03-23,3.6294571536429,high,54.4918086045926,37.1,Non-metro
Missouri,Ralls County,2022-03-30,0,low,31.5,28.2,Non-metro
Kansas,Rush County,2022-03-30,0,low,56.2,50.3,Non-metro
Illinois,Wayne County,2022-03-30,0,low,42.6,39.4,Non-metro
Nebraska,York County,2022-03-30,0,low,54.4918086045924,52,Non-metro
Nebraska,Arthur County,2022-03-30,3.6294571536429,NA,54.4918086045924,19.7,Non-metro
Kansas,Labette County,2022-03-31,0.94,low,55.1,49.3,Non-metro
Nebraska,Loup County,2022-03-01,3.6294571536429,NA,29.8,29.5,Non-metro
Nebraska,Valley County,2022-03-01,3.6294571536429,low,0,32.7,Non-metro
Wisconsin,Polk County,2022-03-07,3.16,substantial,55.9,50.4,Non-metro
Kansas,Rice County,2022-03-07,34.38,high,49.1,43.3,Non-metro
Nebraska,McPherson County,2022-03-14,3.6294571536429,NA,0,14.4,Non-metro
Ohio,Monroe County,2022-03-14,10,high,52.2,46.1,Non-metro
Illinois,Clay County,2022-03-27,0,low,41.1,38.4,Non-metro
Nebraska,Knox County,2022-03-09,3.6294571536429,high,49.5,48.8,Non-metro
Nebraska,Chase County,2022-03-09,0,low,0,33.3,Non-metro
Kansas,Kearny County,2022-03-26,0,low,61.7,53.4,Non-metro
