"Date","county","dose_1_pct","fully_pct","metro","state"
2022-03-31,"Ida County",52.7,48.7,"Non-metro","Iowa"
2022-03-17,"Van Buren County",44.8,41.9,"Non-metro","Iowa"
2022-03-25,"Johnson County",79.9,72.1,"Metro","Iowa"
2022-03-03,"Allamakee County",58.9,52.7,"Non-metro","Iowa"
2022-03-17,"Taylor County",49.8,46.8,"Non-metro","Iowa"
2022-03-18,"Scott County",71.1,60.3,"Metro","Iowa"
2022-03-10,"Sac County",55.7,52.4,"Non-metro","Iowa"
2022-03-05,"Lucas County",48,44.9,"Non-metro","Iowa"
2022-03-08,"Fremont County",57.8,51.6,"Non-metro","Iowa"
2022-03-28,"Harrison County",58.6,51.7,"Metro","Iowa"
2022-03-06,"Wayne County",44.8,41.7,"Non-metro","Iowa"
2022-03-28,"Iowa County",66.7,62.6,"Non-metro","Iowa"
2022-03-13,"Bremer County",63.4,59.4,"Metro","Iowa"
2022-03-08,"Johnson County",79.7,71.9,"Metro","Iowa"
2022-03-10,"Worth County",55,51.7,"Non-metro","Iowa"
2022-03-27,"Story County",68.2,62.9,"Metro","Iowa"
2022-03-17,"Scott County",71,60.3,"Metro","Iowa"
2022-03-02,"Dubuque County",68.4,63.8,"Metro","Iowa"
2022-03-04,"Muscatine County",65.9,60.2,"Non-metro","Iowa"
2022-03-01,"Ida County",52.4,48.5,"Non-metro","Iowa"
2022-03-01,"Buena Vista County",72.8,67,"Non-metro","Iowa"
2022-03-13,"Tama County",67,62.1,"Non-metro","Iowa"
2022-03-26,"Monona County",57.2,53.6,"Non-metro","Iowa"
2022-03-10,"Black Hawk County",64.7,59.6,"Metro","Iowa"
2022-03-22,"Shelby County",63.2,58.9,"Non-metro","Iowa"
2022-03-11,"Louisa County",56.5,52.5,"Non-metro","Iowa"
2022-03-15,"Bremer County",63.4,59.4,"Metro","Iowa"
2022-03-11,"Des Moines County",55.9,51.2,"Non-metro","Iowa"
2022-03-31,"Muscatine County",66.3,60.5,"Non-metro","Iowa"
2022-03-25,"Worth County",55.1,51.8,"Non-metro","Iowa"
2022-03-30,"Pocahontas County",56,52,"Non-metro","Iowa"
2022-03-23,"Hancock County",52.7,49.5,"Non-metro","Iowa"
2022-03-03,"Union County",54.9,50.9,"Non-metro","Iowa"
2022-03-31,"Carroll County",65,61.7,"Non-metro","Iowa"
2022-03-05,"Calhoun County",62.7,58.9,"Non-metro","Iowa"
2022-03-10,"Sioux County",44.7,41.4,"Non-metro","Iowa"
2022-03-29,"Iowa County",66.7,62.6,"Non-metro","Iowa"
2022-03-24,"Fayette County",57.8,54.3,"Non-metro","Iowa"
2022-03-11,"Henry County",57.7,53.3,"Non-metro","Iowa"
2022-03-09,"Black Hawk County",64.7,59.6,"Metro","Iowa"
2022-03-03,"Clayton County",51.4,47.5,"Non-metro","Iowa"
2022-03-10,"Page County",58,53,"Non-metro","Iowa"
2022-03-12,"Pottawattamie County",65.2,56.9,"Metro","Iowa"
2022-03-17,"Jefferson County",52.4,47.8,"Non-metro","Iowa"
2022-03-01,"Keokuk County",49.5,46.1,"Non-metro","Iowa"
2022-03-15,"Winneshiek County",66.7,62,"Non-metro","Iowa"
2022-03-24,"Benton County",62.5,58.2,"Metro","Iowa"
2022-03-07,"Fayette County",57.7,54.1,"Non-metro","Iowa"
2022-03-09,"Monroe County",49,46,"Non-metro","Iowa"
2022-03-30,"Lyon County",46.8,41.2,"Non-metro","Iowa"
2022-03-21,"Story County",68.1,62.8,"Metro","Iowa"
2022-03-06,"Crawford County",57.8,53.4,"Non-metro","Iowa"
2022-03-15,"Johnson County",79.8,72,"Metro","Iowa"
2022-03-24,"Clayton County",51.5,47.6,"Non-metro","Iowa"
2022-03-08,"Shelby County",63.1,58.7,"Non-metro","Iowa"
2022-03-24,"Van Buren County",44.8,41.9,"Non-metro","Iowa"
2022-03-25,"Cedar County",63.8,59.8,"Non-metro","Iowa"
2022-03-21,"Poweshiek County",64.8,58.2,"Non-metro","Iowa"
2022-03-02,"Greene County",61.5,57.7,"Non-metro","Iowa"
2022-03-05,"Tama County",66.9,62,"Non-metro","Iowa"
2022-03-12,"Dubuque County",68.5,63.9,"Metro","Iowa"
2022-03-26,"Adair County",53.1,49.2,"Non-metro","Iowa"
2022-03-15,"Monona County",57.1,53.5,"Non-metro","Iowa"
2022-03-02,"Chickasaw County",57.9,54.3,"Non-metro","Iowa"
2022-03-18,"Carroll County",64.9,61.5,"Non-metro","Iowa"
2022-03-10,"Monroe County",49,46,"Non-metro","Iowa"
2022-03-11,"Hardin County",59.3,55.8,"Non-metro","Iowa"
2022-03-04,"Monroe County",48.9,45.9,"Non-metro","Iowa"
2022-03-09,"Page County",58,52.9,"Non-metro","Iowa"
2022-03-15,"Howard County",55.4,51.3,"Non-metro","Iowa"
2022-03-28,"Pocahontas County",56,51.9,"Non-metro","Iowa"
2022-03-31,"Henry County",57.9,53.6,"Non-metro","Iowa"
2022-03-23,"Cedar County",63.8,59.8,"Non-metro","Iowa"
2022-03-03,"Wayne County",44.8,41.7,"Non-metro","Iowa"
2022-03-01,"Buchanan County",56.7,53.1,"Non-metro","Iowa"
2022-03-31,"Greene County",61.7,58,"Non-metro","Iowa"
2022-03-07,"Emmet County",56.4,51.9,"Non-metro","Iowa"
2022-03-27,"Appanoose County",51.1,47.1,"Non-metro","Iowa"
2022-03-06,"Black Hawk County",64.6,59.6,"Metro","Iowa"
2022-03-21,"Boone County",68.8,64.3,"Non-metro","Iowa"
2022-03-31,"Clinton County",60.2,54.4,"Non-metro","Iowa"
2022-03-12,"Winneshiek County",66.7,61.9,"Non-metro","Iowa"
2022-03-28,"Davis County",38.9,36.6,"Non-metro","Iowa"
2022-03-02,"Carroll County",64.8,61.3,"Non-metro","Iowa"
